Afar;aa;aar;
Abkhazian;ab;abk;
Avestan;ae;ave;
Afrikaans;af;afr;
Amharic;am;amh;
Aragonese;an;arg;
Arabic;ar;ara;
Assamese;as;asm;
Aymara;ay;aym;
Azerbaijani;az;aze;
Bashkir;ba;bak;
Belarusian;be;bel;
Bulgarian;bg;bul;
Bihari;bh;bih;
Bislama;bi;bis;
Bengali;bn;ben;
Tibetan;bo;tib/bod;
Breton;br;bre;
Bosnian;bs;bos;
Catalan;ca;cat;
Chechen;ce;che;
Chamorro;ch;cha;
Corsican;co;cos;
Czech;cs;cze/ces;
Church Slavic/Slavonic/Old Bulgarian;cu;chu;
Chuvash;cv;chv;
Welsh;cy;wel/cym;
Danish;da;dan;
German;de;ger/deu;
Divehi/Dhivehi/Maldivian;dv;div;
Dzongkha;dz;dzo;
Greek, Modern (1453-);el;gre/ell;
English;en;eng;
Esperanto;eo;epo;
Spanish/Castilian;es;spa;
Estonian;et;est;
Basque;eu;baq/eus;
Persian;fa;per/fas;
Finnish;fi;fin;
Fijian;fj;fij;
Faroese;fo;fao;
French;fr;fre/fra;
Western Frisian;fy;fry;
Irish;ga;gle;
Gaelic/Scottish Gaelic;gd;gla;
Galician;gl;glg;
Guarani;gn;grn;
Gujarati;gu;guj;
Manx;gv;glv;
Hausa;ha;hau;
Hebrew;he;heb;
Hindi;hi;hin;
Hiri Motu;ho;hmo;
Croatian;hr;scr/hrv;
Haitian/Haitian Creole;ht;hat;
Hungarian;hu;hun;
Armenian;hy;arm/hye;
Herero;hz;her;
Interlingua (International Auxiliary Language Association);ia;ina;
Indonesian;id;ind;
Interlingue;ie;ile;
Sichuan Yi;ii;iii;
Inupiaq;ik;ipk;
Ido;io;ido;
Icelandic;is;ice/isl;
Italian;it;ita;
Inuktitut;iu;iku;
Japanese;ja;jpn;
Javanese;jv;jav;
Georgian;ka;geo/kat;
Kikuyu/Gikuyu;ki;kik;
Kuanyama/Kwanyama;kj;kua;
Kazakh;kk;kaz;
Kalaallisut;kl;kal;
Khmer;km;khm;
Kannada;kn;kan;
Korean;ko;kor;
Kashmiri;ks;kas;
Kurdish;ku;kur;
Komi;kv;kom;
Cornish;kw;cor;
Kirghiz;ky;kir;
Latin;la;lat;
Luxembourgish/Letzeburgesch;lb;ltz;
Limburgan/Limburger/Limburgish;li;lim;
Lingala;ln;lin;
Lao;lo;lao;
Lithuanian;lt;lit;
Latvian;lv;lav;
Malagasy;mg;mlg;
Marshallese;mh;mah;
Maori;mi;mao/mri;
Macedonian;mk;mac/mkd;
Malayalam;ml;mal;
Mongolian;mn;mon;
Moldavian;mo;mol;
Marathi;mr;mar;
Malay;ms;may/msa;
Maltese;mt;mlt;
Burmese;my;bur/mya;
Nauru;na;nau;
Norwegian Bokmal;nb;nob;
Ndebele, North;nd;nde;
Nepali;ne;nep;
Ndonga;ng;ndo;
Dutch;nl;dut/nld;
Norwegian Nynorsk;nn;nno;
Norwegian;no;nor;
Ndebele, South;nr;nbl;
Navaho, Navajo;nv;nav;
Nyanja/Chichewa/Chewa;ny;nya;
Occitan (post 1500)/Provencal;oc;oci;
Oromo;om;orm;
Oriya;or;ori;
Ossetian/Ossetic;os;oss;
Panjabi;pa;pan;
Pali;pi;pli;
Polish;pl;pol;
Pushto;ps;pus;
Portuguese;pt;por;
Quechua;qu;que;
Raeto-Romance;rm;roh;
Rundi;rn;run;
Romanian;ro;rum/ron;
Russian;ru;rus;
Kinyarwanda;rw;kin;
Sanskrit;sa;san;
Sardinian;sc;srd;
Sindhi;sd;snd;
Northern Sami;se;sme;
Sango;sg;sag;
Sinhala/Sinhalese;si;sin;
Slovak;sk;slo/slk;
Slovenian;sl;slv;
Samoan;sm;smo;
Shona;sn;sna;
Somali;so;som;
Albanian;sq;alb/sqi;
Serbian;sr;scc/srp;
Swati;ss;ssw;
Sotho, Southern;st;sot;
Sundanese;su;sun;
Swedish;sv;swe;
Swahili;sw;swa;
Tamil;ta;tam;
Telugu;te;tel;
Tajik;tg;tgk;
Thai;th;tha;
Tigrinya;ti;tir;
Turkmen;tk;tuk;
Tagalog;tl;tgl;
Tswana;tn;tsn;
Tonga (Tonga Islands);to;ton;
Turkish;tr;tur;
Tsonga;ts;tso;
Tatar;tt;tat;
Twi;tw;twi;
Tahitian;ty;tah;
Uighur;ug;uig;
Ukrainian;uk;ukr;
Urdu;ur;urd;
Uzbek;uz;uzb;
Vietnamese;vi;vie;
Volapuk;vo;vol;
Walloon;wa;wln;
Wolof;wo;wol;
Xhosa;xh;xho;
Yiddish;yi;yid;
Yoruba;yo;yor;
Zhuang/Chuang;za;zha;
Chinese;zh;chi/zho;
Zulu;zu;zul;
